Title,SJR,H index,Total Docs. (2018),Total Docs. (3years),Total Refs.,Est. value (USD) (2018),Total Cites (3years),Self-Cites/Total Cites (3years),Uncited Docs./Total Docs. (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Coverage_Duration,Publisher
Ca-A Cancer Journal for Clinicians,72.576,223,41,123,2568,1414863.0,20737,0.0017360273906543,0.2195121951219512,102,165.88,62.63,76,John Wiley and Sons Inc
MMWR Recommendations and Reports,48.894,155,3,12,559,130432.0,1202,0.0008319467554076,0.0,12,97.25,186.33,35,Centers for Disease Control and Prevention (CDC)
Nature Reviews Materials,34.171,215,93,194,7692,1144054.0,7456,0.0049624463519313,0.3556701030927835,106,38.43,82.71,10,Nature Publishing Group
Quarterly Journal of Economics,30.49,322,40,119,2498,1218083.0,1509,0.0159045725646123,0.0252100840336134,119,13.09,62.45,140,Oxford University Press
Nature Reviews Genetics,30.428,439,114,384,7830,4069481.0,6958,0.0103478010922678,0.453125,152,18.09,68.68,26,Nature Research
Nature Reviews Molecular Cell Biology,30.397,531,118,376,8864,3962239.0,7453,0.0108681068026298,0.3989361702127659,189,18.78,75.12,26,Nature Research
Nature Reviews Cancer,28.061,527,117,352,7724,3772854.0,8716,0.0066544286369894,0.3892045454545454,190,25.43,66.02,25,Nature Publishing Group
National Vital Statistics Reports,27.31,120,11,32,192,300658.0,1394,0.0071736011477761,0.0,32,46.0,17.45,27,"Public Health Services, US Dept of Health and Human Services"
Nature Reviews Immunology,26.208,486,149,428,7981,4552158.0,8241,0.0060672248513529,0.4626168224299065,177,17.22,53.56,25,Nature Research
Cell,25.976,925,604,1813,29372,18365204.0,46185,0.0170834686586554,0.1395477109762824,1643,24.14,48.63,52,Elsevier B.V.
Journal of Political Economy,22.902,225,68,152,3325,1400617.0,947,0.0200633579725448,0.2434210526315789,119,6.23,48.9,48,University of Chicago Press
Chemical Reviews,22.157,873,240,831,92093,7888200.0,46468,0.0074459843333046,0.0204572803850782,803,52.32,383.72,102,American Chemical Society
Nature Genetics,21.508,660,243,769,10119,7488531.0,16818,0.0252705434653347,0.1261378413524057,706,18.91,41.64,34,Nature Research
Nature Reviews Neuroscience,21.21,493,142,391,8733,3814121.0,6725,0.0040148698884758,0.4705882352941176,210,14.81,61.5,26,Springer Nature
Nature Methods,21.178,408,350,939,5783,9455070.0,13820,0.0140376266280752,0.3407880724174654,551,13.77,16.52,22,Nature Research
New England Journal of Medicine,19.524,1231,1388,4726,15184,43470910.0,83777,0.0059324158181839,0.378967414303851,1886,15.79,10.94,81,Massachussetts Medical Society
MMWR Surveillance Summaries,18.375,119,14,55,811,566749.0,1557,0.00834938985228,0.0909090909090909,55,39.53,57.93,22,Centers for Disease Control and Prevention (CDC)
The Lancet Oncology,18.073,432,583,1802,8077,15833681.0,19034,0.0120311022381002,0.4833518312985571,565,9.81,13.85,26,Elsevier Ltd
Journal of Finance,17.973,370,66,213,3549,2023902.0,1588,0.0377833753148614,0.0892018779342723,210,6.16,53.77,80,Wiley-Blackwell Publishing Ltd
