Title,SJR,H index,IPP,SNIP,Total Docs. (2008),Total Docs. (3years),Total Refs.,Est. value (USD) (2008),Total Cites (3years),Self-Cites/Total Cites (3years),Uncited Docs./Total Docs. (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Coverage_Duration,Publisher
Reviews of Modern Physics,35.841,399,37.4948453608247,19.9049376881735,37,99,9336,1028834.0,3941,0.0063435676224308,0.0303030303030303,99,34.48,252.32,97,American Physical Society
Annual Review of Neuroscience,28.501,269,26.4098360655738,6.69785086702516,23,61,3382,663506.0,1897,0.0057986294148655,0.0,61,29.19,147.04,47,Annual Reviews Inc.
Ca-A Cancer Journal for Clinicians,25.358,223,76.2542372881356,32.954298935838,33,113,1848,1001683.0,5279,0.0034097366925554,0.4247787610619469,99,41.74,56.0,76,John Wiley and Sons Inc
Cell,25.274,925,27.6272251308901,5.66575526686164,522,1527,18466,14731088.0,33614,0.0179389540072588,0.1178781925343811,1445,21.53,35.38,52,Elsevier B.V.
Physiological Reviews,22.465,401,33.6734693877551,9.86084190119774,40,98,16536,1007469.0,3861,0.0036260036260036,0.0,98,39.02,413.4,81,American Physiological Society
Nature Genetics,20.87,660,24.6886035313002,5.28163066676131,304,914,7078,8372997.0,18945,0.0243335972552124,0.1312910284463894,799,22.18,23.28,34,Nature Research
Nature Immunology,19.372,452,19.2553191489362,3.59110796695359,221,647,8046,6203180.0,11488,0.024025069637883,0.1653786707882534,540,16.09,36.41,26,Nature Research
Quarterly Journal of Economics,18.257,322,5.99193548387097,6.37483819703204,41,124,2078,1169821.0,919,0.0467899891186071,0.0483870967741935,124,6.21,50.68,140,Oxford University Press
Nature Reviews Molecular Cell Biology,18.163,531,16.421875,3.67209365543218,202,579,9545,5326343.0,9675,0.0071317829457364,0.5716753022452504,537,16.21,47.25,26,Nature Research
Chemical Reviews,16.304,873,25.4680412371134,8.46072253452019,164,506,51348,4632215.0,13557,0.0089252784539352,0.0276679841897233,485,23.03,313.1,102,American Chemical Society
Advances in Physics,15.916,127,15.0625,7.10155195870045,8,32,1495,250127.0,513,0.0038986354775828,0.03125,32,15.82,186.88,72,Taylor and Francis Ltd.
Progress in Materials Science,15.858,255,20.9803921568627,15.5123741561895,14,52,3271,453509.0,1229,0.0040683482506102,0.0576923076923076,51,19.51,233.64,56,Elsevier Ltd
Cancer Cell,15.652,416,22.0526315789474,4.40877857383358,123,354,4195,3334475.0,6495,0.0120092378752886,0.0564971751412429,353,17.14,34.11,24,Cell Press
Genes and Development,15.64,489,12.0412946428571,2.35756332255083,318,897,17887,8302271.0,12288,0.0263671875,0.020066889632107,896,13.36,56.25,39,Cold Spring Harbor Laboratory Press
Nature Cell Biology,15.449,420,12.3235294117647,2.52203908675802,223,698,6101,6301474.0,8171,0.0115040998653775,0.2048710601719197,590,12.01,27.36,27,Nature Research
Immunity,15.352,475,17.8783068783069,3.41425560324459,207,524,9032,4835928.0,8029,0.0351226802839706,0.1011450381679389,492,15.11,43.63,32,Cell Press
Annual Review of Biophysics,15.211,178,15.15,3.65772244690227,24,60,2321,559055.0,1089,0.0101010101010101,0.0166666666666666,60,18.55,96.71,17,Annual Reviews Inc.
