Title,SJR,H index,IPP,SNIP,Total Docs. (2005),Total Docs. (3years),Total Refs.,Est. value (USD) (2005),Total Cites (3years),Self-Cites/Total Cites (3years),Uncited Docs./Total Docs. (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Coverage_Duration,Publisher
Reviews of Modern Physics,27.144,399,33.0816326530612,17.2427796072686,33,98,8259,961050.0,3792,0.005801687763713,0.0204081632653061,98,32.25,250.27,97,American Physical Society
Cell,25.262,925,22.6301886792453,4.50444868488552,446,1105,16319,11688552.0,27589,0.0170720214578273,0.0606334841628959,1060,23.37,36.59,52,Elsevier B.V.
Annual Review of Neuroscience,22.864,269,25.7941176470588,6.76524107325886,19,69,2940,763315.0,1988,0.0075452716297786,0.0434782608695652,68,25.88,154.74,47,Annual Reviews Inc.
Quarterly Journal of Economics,20.701,322,6.79166666666667,8.78536630093791,40,120,1765,1125614.0,1068,0.0215355805243445,0.1083333333333333,120,6.53,44.13,140,Oxford University Press
Physiological Reviews,20.031,401,33.7083333333333,10.1689796433813,33,96,15748,980302.0,3670,0.0038147138964577,0.0,96,31.37,477.21,81,American Physiological Society
Nature Immunology,17.93,452,20.2672064777328,3.68971059972713,210,683,7576,6173167.0,11538,0.0275611024440977,0.1625183016105417,505,17.18,36.08,26,Nature Research
"Vital and health statistics. Series 11, Data from the National Health Survey",16.434,13,39.5,28.536340546205,1,2,25,14531.0,81,0.0,0.0,2,0.0,25.0,27,U.S. National Center for Health Statistics
Ca-A Cancer Journal for Clinicians,16.155,223,45.5102040816327,20.6424224301765,32,97,1477,863576.0,2663,0.0056327450244085,0.3298969072164948,64,32.84,46.16,76,John Wiley and Sons Inc
Genes and Development,15.979,489,14.1654761904762,2.58610435258861,283,844,16007,8064403.0,13542,0.0294638901196278,0.0047393364928909,841,15.45,56.56,39,Cold Spring Harbor Laboratory Press
Molecular Cell,15.371,459,12.8575916230366,2.41850735745977,337,991,13825,8915724.0,13891,0.0346987257936793,0.0544904137235116,984,13.62,41.02,29,Cell Press
Nature Cell Biology,15.036,420,15.009633911368,2.91937374984042,235,725,5808,6780515.0,9136,0.0117119089316987,0.2096551724137931,541,11.95,24.71,27,Nature Research
Nature Genetics,14.345,660,21.5888,5.17509200109281,303,901,7232,8493637.0,16833,0.0158617002316877,0.1542730299667036,808,18.47,23.87,34,Nature Research
Current Opinion in Cell Biology,14.122,284,14.3451957295374,2.88207678566581,99,303,5118,2799433.0,4509,0.0128631625637613,0.0594059405940594,280,14.61,51.7,37,Elsevier Ltd
Nature Reviews Cancer,13.84,527,20.2116788321168,4.45296845723199,199,548,9527,3843400.0,9638,0.0151483710313343,0.5401459854014599,421,15.48,47.87,25,Nature Publishing Group
Immunity,13.277,475,14.5901287553648,2.70052309136896,143,482,6137,4332774.0,7558,0.0234188938872717,0.0456431535269709,479,14.35,42.92,32,Cell Press
Chemical Reviews,12.348,873,22.9855072463768,9.17127445310437,138,501,44414,4085226.0,11981,0.0131875469493364,0.0239520958083832,484,21.55,321.84,102,American Chemical Society
Econometrica,12.055,231,3.11386138613861,4.31388852692123,57,222,1747,1694109.0,785,0.0687898089171974,0.1891891891891892,202,3.26,30.65,43,Wiley-Blackwell Publishing Ltd
Surface Science Reports,11.852,131,19.1612903225806,9.67909153489208,12,32,4057,278506.0,638,0.0109717868338558,0.03125,31,17.5,338.08,45,Elsevier B.V.
Cancer Cell,11.785,416,14.5343137254902,2.7231585098503,121,416,5069,2091175.0,6823,0.0216913381210611,0.0456730769230769,406,15.6,41.89,24,Cell Press
Nature Reviews Immunology,11.713,486,16.7573033707865,3.57978124456489,192,544,8776,3706756.0,8530,0.0137162954279015,0.5386029411764706,465,15.39,45.71,25,Nature Research
MMWR Recommendations and Reports,11.642,155,22.312786715492294,7.767792843895976,18,55,109,486902.0,1324,0.0,0.0363636363636363,55,18.6,6.06,35,Centers for Disease Control and Prevention (CDC)
Annual Review of Biophysics,11.575,178,14.5593220338983,3.77179898929196,18,62,1767,517780.0,982,0.0030549898167006,0.0806451612903225,59,16.64,98.17,17,Annual Reviews Inc.
Neuron,11.365,548,11.9188503803888,2.75680489307966,412,1245,18673,10626273.0,16357,0.0450571620712844,0.0755020080321285,1238,12.65,45.32,38,Cell Press
Journal of Political Economy,11.322,225,3.18367346938776,4.26313625114233,42,147,1412,1156964.0,604,0.0314569536423841,0.2040816326530612,147,3.18,33.62,48,University of Chicago Press
Review of Economic Studies,11.298,177,2.66129032258065,3.26827837859862,45,124,1615,931126.0,418,0.0239234449760765,0.1854838709677419,124,3.06,35.89,93,Oxford University Press
Nature Reviews Molecular Cell Biology,11.191,531,12.4237588652482,2.80608994755404,186,635,8888,5378521.0,7947,0.0099408581854787,0.5921259842519685,611,12.07,47.78,26,Nature Research
Microbiology and Molecular Biology Reviews,11.113,287,16.6206896551724,5.245254917068,26,88,7389,741671.0,1677,0.011329755515802,0.0454545454545454,87,17.16,284.19,28,American Society for Microbiology
Science,11.09,1382,21.7496984318456,6.58746724689217,2332,7168,32491,61917656.0,92236,0.0107441779782297,0.3387276785714285,4897,12.17,13.93,145,American Association for the Advancement of Science
Journal of Experimental Medicine,11.025,503,13.8788187372709,2.65806387779917,380,1031,15333,9013135.0,15444,0.036065786065786,0.0126091173617846,982,14.15,40.35,128,Rockefeller University Press
Developmental Cell,10.99,306,9.62709030100334,1.85958145092204,198,614,8593,4186046.0,6621,0.0291496752756381,0.1384364820846905,599,10.43,43.4,25,Cell Press
Advances in Physics,10.949,127,13.7297297297297,7.66192839489892,10,37,2370,343293.0,585,0.0051282051282051,0.027027027027027,37,11.26,237.0,72,Taylor and Francis Ltd.
Annual Review of Plant Biology,10.37,307,18.3287671232877,5.50668973994879,20,75,2924,628326.0,1518,0.0072463768115942,0.04,73,18.88,146.2,29,Annual Reviews Inc.
Nature,10.333,1442,23.2232258064516,7.36680794403625,2764,7509,36725,66346540.0,89776,0.0146030119408305,0.4101744573178852,5208,11.17,13.29,157,Nature Research
Trends in Cell Biology,10.316,271,12.3,2.50709444699358,100,372,5593,3390290.0,3572,0.0100783874580067,0.2365591397849462,366,11.93,55.93,35,Elsevier Ltd
Endocrine Reviews,10.25,317,24.1142857142857,7.87346381720874,41,114,10893,953164.0,2941,0.0091805508330499,0.0789473684210526,112,24.27,265.68,46,The Endocrine Society
MMWR Surveillance Summaries,10.221,119,21.2448473422468,8.413681228336817,9,33,0,218718.0,732,0.0,0.0,33,16.39,0.0,22,Centers for Disease Control and Prevention (CDC)
Nature Medicine,10.215,653,24.8523364485981,5.58800836705498,411,1325,7455,11076088.0,16763,0.0075762095090377,0.3916981132075471,877,12.53,18.14,31,Nature Research
National Vital Statistics Reports,10.214,120,32.46471320650478,13.753932903175853,7,37,0,288200.0,798,0.0,0.1621621621621621,37,22.23,0.0,27,"Public Health Services, US Dept of Health and Human Services"
Journal of Economic Literature,10.065,189,6.36206896551724,8.90530354932919,17,61,1881,506064.0,507,0.0059171597633136,0.2786885245901639,61,5.95,110.65,32,American Economic Association
Journal of Finance,10.044,370,4.49446494464945,4.28658005571224,87,275,3466,2318599.0,1551,0.0780141843971631,0.0836363636363636,271,4.02,39.84,80,Wiley-Blackwell Publishing Ltd
Journal of Cell Biology,9.988,422,9.72315035799523,1.96162301560253,478,1324,17567,12045304.0,14237,0.031537543021704,0.0709969788519637,1309,10.91,36.75,71,Rockefeller University Press
New England Journal of Medicine,9.888,1231,29.930316091954,12.1763575224677,1222,3570,17224,29512782.0,57554,0.0090002432498175,0.3254901960784314,1931,15.52,14.09,81,Massachussetts Medical Society
Pharmacological Reviews,9.872,264,22.2878787878788,6.58993315945452,30,73,5479,660087.0,1708,0.002927400468384,0.0684931506849315,71,16.3,182.63,76,Elsevier Inc.
EMBO Journal,9.772,441,9.49490373725934,1.9866363898166,383,1758,17688,14604018.0,18440,0.0177331887201735,0.0125142207053469,1757,10.35,46.18,44,Springer Science and Business Media Deutschland GmbH
Trends in Biochemical Sciences,9.686,309,13.5909090909091,3.0531087903452,108,382,5456,3509285.0,4135,0.0072551390568319,0.193717277486911,365,12.92,50.52,50,Elsevier Ltd
Annual Review of Microbiology,9.449,220,13.6296296296296,4.02353161881174,24,84,3015,678571.0,1294,0.0077279752704791,0.0595238095238095,81,14.02,125.63,74,Annual Reviews Inc.
Materials Science and Engineering R: Reports,9.352,182,21.320282853179958,8.408092710136646,11,45,2334,345748.0,886,0.0011286681715575,0.0666666666666666,45,12.86,212.18,33,Elsevier B.V.
Journal of Economic Growth,9.219,103,3.78571428571429,4.11389802742619,12,42,519,303859.0,231,0.0432900432900432,0.1904761904761904,42,4.88,43.25,30,Springer New York
"Astrophysical Journal, Supplement Series",9.197,286,10.3922902494331,3.1918997334419,122,442,6773,3051414.0,5275,0.021042654028436,0.1131221719457013,441,14.27,55.52,40,American Astronomical Society
Current Opinion in Genetics and Development,9.179,203,10.4723247232472,2.06992132603696,92,293,4487,2495003.0,3229,0.0105295757200371,0.0784982935153583,271,9.35,48.77,35,Elsevier Ltd
Journal of Financial Economics,8.86,331,3.6839378238342,3.38737021435753,79,193,3078,1695319.0,919,0.1044613710554951,0.1450777202072538,192,3.79,38.96,52,Elsevier B.V.
Nature Neuroscience,8.852,496,12.8119658119658,3.40703504167919,321,806,10306,6947688.0,8946,0.0230270511960652,0.1550868486352357,738,10.74,32.11,28,Nature Research
Biochimica et Biophysica Acta - Reviews on Cancer,8.629,166,13.12,3.03960292996172,19,52,3234,451251.0,748,0.0066844919786096,0.0961538461538461,50,13.46,170.21,52,Elsevier B.V.
Annual Review of Physical Chemistry,8.272,189,12.875,4.35434885356218,21,57,2567,495058.0,798,0.0112781954887218,0.0526315789473684,56,14.18,122.24,39,Annual Reviews Inc.
Accounts of Chemical Research,8.24,472,14.6748466257669,4.84216529208658,101,336,5345,2664740.0,5257,0.0039946737683089,0.0327380952380952,328,13.49,52.92,58,American Chemical Society
Annual Review of Psychology,8.128,298,14.3835616438356,8.86387409290394,23,75,3218,570765.0,1305,0.0137931034482758,0.0266666666666666,74,12.27,139.91,74,Annual Reviews Inc.
Nature Structural and Molecular Biology,8.122,310,9.86252771618625,2.39911602465104,235,665,7119,5603160.0,5184,0.017554012345679,0.1954887218045112,619,7.97,30.29,23,Nature Research
Foundations and Trends in Communications and Information Theory,8.115,31,7.0,5.02680499018633,1,3,0,4898.0,25,0.0,0.0,3,8.33,0.0,21,Now Publishers Inc
JAMA Psychiatry,8.094,417,13.3095238095238,4.71828710901589,142,410,7446,3470409.0,5429,0.0244980659421624,0.1121951219512195,356,13.84,52.44,13,American Medical Association
Genome Research,7.935,338,9.33204633204633,2.35180637342051,199,803,10388,5880516.0,8899,0.0537139004382514,0.0460772104607721,793,10.62,52.2,35,Cold Spring Harbor Laboratory Press
Chemical Society Reviews,7.834,673,13.4427480916031,4.25161157320755,76,136,4621,1148125.0,1887,0.0084790673025967,0.0367647058823529,132,13.63,60.8,54,Royal Society of Chemistry
Journal of Biology,7.792,57,10.4516129032258,1.97168804402656,10,53,293,271839.0,422,0.0,0.3018867924528302,48,7.52,29.3,9,BioMed Central Ltd
Plant Cell,7.775,412,11.1644204851752,2.37401742036948,266,790,15167,6170708.0,9020,0.0783813747228381,0.0481012658227848,743,10.6,57.02,37,American Society of Plant Biologists
Trends in Genetics,7.773,253,10.0944881889764,2.16698339745517,123,435,5060,3720548.0,4005,0.0212234706616729,0.167816091954023,416,10.84,41.14,41,Elsevier Ltd
Psychological Methods,7.759,195,6.0989010989011,5.16768962136512,30,91,1500,640056.0,628,0.0429936305732484,0.1758241758241758,91,3.29,50.0,30,American Psychological Association
Progress in Neurobiology,7.667,264,13.0148148148148,4.07557356022394,46,137,11541,1152467.0,1989,0.0075414781297134,0.0364963503649635,136,12.7,250.89,55,Elsevier Ltd
Nature Reviews Drug Discovery,7.654,412,15.7745901639344,4.28502568667263,339,809,8032,4405333.0,5117,0.0242329489935509,0.6291718170580964,255,5.62,23.69,24,Nature Research
Quarterly Reviews of Biophysics,7.645,111,11.2962962962963,3.39254163514481,20,29,1608,264794.0,346,0.0115606936416184,0.1379310344827586,28,10.28,80.4,57,Cambridge University Press
Annual Review of Genomics and Human Genetics,7.563,134,9.54166666666667,2.68884078689103,18,48,2130,402229.0,555,0.018018018018018,0.0625,48,11.63,118.33,25,Annual Reviews Inc.
Journal of Clinical Investigation,7.543,558,12.5863486842105,3.01949947381718,447,1369,21236,10970011.0,18055,0.0158404873996122,0.0664718772826881,1234,12.82,47.51,81,American Society for Clinical Investigation
Astrophysical Journal Letters,7.524,212,19.7666666666667,6.21125272655197,7,45,353,391992.0,694,0.0028818443804034,0.8444444444444444,45,25.96,50.43,30,American Astronomical Society
American Journal of Human Genetics,7.381,339,11.2281795511222,3.4781058486374,208,898,8293,6660288.0,11167,0.036178024536581,0.0501113585746102,816,12.28,39.87,76,Cell Press
Progress in Polymer Science,7.242,346,13.7943925233645,7.26452826008276,41,116,5115,904340.0,1670,0.022754491017964,0.0517241379310344,113,16.96,124.76,51,Elsevier Ltd
Physics Reports,7.239,328,13.1005025125628,7.02661591232831,52,228,14700,1702593.0,2939,0.0105478053759782,0.1798245614035087,225,10.63,282.69,55,Elsevier B.V.
PLoS Biology,7.087,316,9.20075757575758,2.49818883056353,241,437,10170,2783876.0,2892,0.0155601659751037,0.4096109839816934,417,6.62,42.2,23,Public Library of Science
Development (Cambridge),7.076,369,7.31960049937578,1.54009749229545,475,1609,27663,12203017.0,13150,0.1085171102661596,0.0292106898694841,1600,7.9,58.24,39,Company of Biologists Ltd
Nature Reviews Genetics,7.069,439,9.38742393509128,2.40579216187357,202,579,8824,4488429.0,5493,0.0172947387584198,0.5595854922279793,526,7.79,43.68,26,Nature Research
Academy of Management Review,7.064,320,6.66666666666667,6.44180053733205,44,107,3575,853619.0,843,0.0272835112692763,0.1495327102803738,91,6.54,81.25,43,Academy of Management
